模块,测试点,测试步骤,预期结果
app端,【添加成员-正向功能验证】进入首页，点击通讯录界面，点击添加成员按钮，点解手动输入添加，输入必填项内容，点击保存按钮，添加成员成功,前提条件：已登录企业微信的管理用户
app端,【添加成员-入口展示】手动输入添加-入口图标位置以及图标展示正确
app端,【添加成员-入口-操作】首页-通讯录-添加成员-手动输入添加-点击入口图标进入添加成员界面
app端,【添加成员-完整输入界面展示】与UI设计一致
app端,【添加成员-完整输入界面展示】文案展示正确
app端,【添加成员-完整输入界面-姓名（必填项）】默认文案展示正确：【必填】
app端,【添加成员-完整输入界面-姓名（必填项）】点击光标高亮展示在输入框内，触发弹出手机输入法浮层
app端,【添加成员-完整输入界面-姓名（必填项）】为空，提示【请填写姓名】，输入框边框与提示文案展示为红色
app端,【添加成员-完整输入界面-姓名（必填项）】输入1个字符，无提示
app端,【添加成员-完整输入界面-姓名（必填项）】输入64个字符，无提示
app端,【添加成员-完整输入界面-姓名（必填项）】输入65个字符，提示【姓名长度为 1-64 个字符】，输入框边框与提示文案展示为红色
app端,【添加成员-完整输入界面-姓名（必填项）】63个字符前面加空格，无提示
app端,【添加成员-完整输入界面-姓名（必填项）】63个字符后面加空格，无提示
app端,【添加成员-完整输入界面-姓名（必填项）】63个字符中间加1个空格，无提示
app端,【添加成员-完整输入界面-姓名（必填项）】64个字符前后中间分别加空格，返回结果与需求一致
app端,【添加成员-完整输入界面-姓名（必填项）】单独空格，提示【请填写姓名】
app端,"【添加成员-完整输入界面-姓名（必填项）】""~!@#$%^&*()_+{}|[]\:""<>?;',./?;:'-=",无提示
app端,【添加成员-完整输入界面-帐号】默认文案展示正确：【选填】
app端,【添加成员-完整输入界面-帐号】文案后图标，展示正确
app端,【添加成员-完整输入界面-帐号】文案后图标，点击跳转爷爷微信帐号的作用信息页面
app端,【添加成员-完整输入界面-帐号】点击光标高亮展示在输入框内，触发弹出手机输入法浮层
app端,【添加成员-完整输入界面-帐号】输入【1】，无提示
app端,【添加成员-完整输入界面-帐号】输入【aa】，无提示
app端,【添加成员-完整输入界面-帐号】输入【b_】，无提示
app端,【添加成员-完整输入界面-帐号】输入【1.】，无提示
app端,【添加成员-完整输入界面-帐号】输入【u-】，无提示
app端,【添加成员-完整输入界面-帐号】输入【b1@】，无提示
app端,【添加成员-完整输入界面-帐号】输入【5g】，无提示
app端,【添加成员-完整输入界面-帐号】输入【7k@_】，无提示
app端,【添加成员-完整输入界面-帐号】输入【7k@_-】，无提示
app端,【添加成员-完整输入界面-帐号】输入【7k@_-.】，无提示
app端,【添加成员-完整输入界面-帐号】输入63个合法字符，无提示
app端,【添加成员-完整输入界面-帐号】输入64个合法字符，无提示
app端,【添加成员-完整输入界面-帐号】输入65个合法字符，提示【帐号长度为 1-64 个字符】，输入框边框与提示文案展示为红色
app端,【添加成员-完整输入界面-帐号】输入【.】，提示【（.-_@）不能放在开头】，输入框边框与提示文案展示为红色
app端,【添加成员-完整输入界面-帐号】输入【-】，提示【（.-_@）不能放在开头】，输入框边框与提示文案展示为红色
app端,【添加成员-完整输入界面-帐号】输入【_】，提示【（.-_@）不能放在开头】，输入框边框与提示文案展示为红色
app端,【添加成员-完整输入界面-帐号】输入【@】，提示【（.-_@）不能放在开头】，输入框边框与提示文案展示为红色
app端,【添加成员-完整输入界面-帐号】63个字符前面加空格，无提示
app端,【添加成员-完整输入界面-帐号】63个字符后面加空格，无提示
app端,【添加成员-完整输入界面-帐号】62个字符前后加空格，无提示
app端,【添加成员-完整输入界面-帐号】63个字符中间加1个空格，无提示
app端,【添加成员-完整输入界面-帐号】单独空格，提示【请填写账号】，输入框与提示文案展示为红色
app端,"【添加成员-完整输入界面-帐号】""~!@#$%^&*()_+{}|[]\:""<>?;',./?;:'-=",提示帐号只能由字母、数字及符号（.-_@）组成
app端,【添加成员-完整输入界面-帐号】重复帐号，弹出提示框【成员已存在，无法重复添加】，点击确定，返回编辑界面
app端,【添加成员-完整输入界面-别名】默认文案展示正确：【选填】
app端,【添加成员-完整输入界面-别名】点击光标高亮展示在输入框内，触发弹出手机输入法浮层
app端,【添加成员-完整输入界面-别名】为空，无提示
app端,【添加成员-完整输入界面-别名】输入1个字符，无提示
app端,【添加成员-完整输入界面-别名】输入32个字符，无提示
app端,【添加成员-完整输入界面-别名】输入33个字符，提示【别名长度为 1-32 个字符】
app端,【添加成员-完整输入界面-别名】31个字符前面加空格，无提示
app端,【添加成员-完整输入界面-别名】31个字符后面加空格，无提示
app端,【添加成员-完整输入界面-别名】30个字符前后加空格，无提示
app端,【添加成员-完整输入界面-别名】31个字符中间加1个空格，无提示
app端,【添加成员-完整输入界面-别名】单独空格，无提示
app端,"【添加成员-完整输入界面-别名】""~!@#$%^&*()_+{}|[]\:""<>?;',./?;:'-=",无提示
app端,【添加成员-完整输入界面-性别】遮罩单选框文案展示正确【男】【女】【确定】
app端,【添加成员-完整输入界面-性别】单选框可被滑动及点击两种方式选择文案
app端,【添加成员-完整输入界面-性别】默认选择【男】
app端,【添加成员-完整输入界面-性别】选择男、女，只能有一个被选择高亮
app端,【添加成员-完整输入界面-性别】选择后点击确定，完成选择，展示正确
app端,【添加成员-完整输入界面-手机（必填项）-国际冠码框】下拉列表默认值展示【+86】
app端,【添加成员-完整输入界面-手机（必填项）-国际冠码框】点击【+86】，跳转到请选择国家或地区界面
app端,【添加成员-完整输入界面-手机（必填项）-手机号输入框】默认文案展示正确：【必填】
app端,【添加成员-完整输入界面-手机（必填项）-手机号输入框】点击光标高亮展示在输入框内，触发弹出手机输入法遮罩
app端,【添加成员-完整输入界面-手机（必填项）-手机号输入框】11位数字，无提示
